的	白勺
了	了
我	我
是	是
在	才土
你	人尔
和	禾口
有	𠂇月
不	不
就	京𠂇
都	者阝
也	也
要	西女
吧	口巴
好	女子
他	人也
說	言公儿
去	去
到	至刀
沒	水勹又
還	辵四一口衤
上	上
對	业土寸
那	冄阝
人	人
個	人圍古
看	手目
中	中
呢	口尸匕
來	來
嗎	口馬
爲	爲
會	會
她	女也
與	臼牙廾
給	糸亼口
等	竹土寸
這	辵言
用	用
把	扌巴
下	下
恩	圍大心
能	厶月比
很	行艮
多	多
做	人古攴
想	木目心
點	黑卜口
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行从止
再	再
將	爿肉寸
時	日土寸
但	人日一
過	辵咼
打	扌丁
大	大
年	𠂉㐄
麼	麻幺
啦	口扌立
以	厶人
買	四貝
讓	言衣口口甘
嗯	口圍大心
着	羊目
小	小
得	行日一寸
先	先
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	及
跟	足艮
於	於
太	太
嘛	口麻
號	口丂虎
日	日
才	才
可	丁口
比	比
玩	王一兀
們	人門
最	日耳又
月	月
真	真
吃	口乞
發	癶弓殳
並	並
它	它
其	其
話	言舌
請	言青
錢	金戔
叫	口丩
開	門一廾
出	出
誰	言隹
哈	口亼口
當	尚田
向	宀口
家	宀豕
問	門口
之	之
更	一日乂
該	言亥
走	走
快	心夬
別	另刀
前	䒑月刀
由	由
高	京口
您	人尔心
裏	衣里
加	力口
所	戶斤
天	天
卻	八公卩
已	巳
里	里
內	内
寫	宀臼烏
啥	口舍
老	耂
搞	扌京口
行	行
事	一中彐
拿	亼口手
帶	帶
如	女口
死	歹匕
賣	士四貝
暈	日冂車
像	人象
使	人一口乂
剛	网山刀
成	成
無	無
換	扌𠂊内大
只	口八
哪	口冄阝
愛	爪冂心夂
回	回
聽	耳王十四一心
少	少
元	一兀
喫	口丰刀大
卡	上卜
靠	牛口非
幫	土土寸白巾
算	竹目廾
者	者
忙	心亡
起	走己
各	夂口
學	臼爻冂子
分	分
咯	口夂口
總	糸囪心
則	貝刀
水	水
張	弓長
改	己攴
唉	口厶矢
三	三
見	見
連	辵車
車	車
放	方攴
全	人王
按	扌宀女
區	匚三口
萬	萬
機	木幺幺戈人
早	日十
拉	扌立
弄	王廾
本	本
偶	人禺
頁	頁
進	辵隹
性	心生
第	竹弓丨丿
完	宀一兀
同	同
花	艸化
長	長
怕	心白
女	女
講	言甘冄
殺	乂木殳
組	糸且
錯	金廿日
些	止匕二
住	人主
名	夕口
跑	足勹巳
次	冫欠
