的	白勹丶
了	了
我	我
是	日一止
在	一亻土
你	亻尔
和	禾口
有	𠂇月
不	不
就	亠口小尤
都	者阝
也	也
要	西女
吧	口巴
好	女子
他	亻也
說	言八口儿
去	土厶
到	至刂
沒	氵勹又
還	之四一口𧘇
上	上
對	业羊寸
那	刀二阝
人	人
個	亻圍十口
看	手目
中	中
呢	口尸匕
來	木人人
嗎	口馬
爲	爲
會	亼四日
她	女也
與	與
給	糸亼口
等	⺮土寸
這	之言
用	用
把	扌巴
下	下
恩	圍大心
能	厶月匕匕
很	行艮
多	夕夕
做	亻十口攵
想	木目心
點	黑卜口
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行人人止
再	一冂土
將	爿䏑寸
時	日土寸
但	亻日一
過	之咼
打	扌丁
大	大
年	年
麼	麻幺
啦	口扌立
以	厶人
買	四貝
讓	言衣口口甘
嗯	口圍大心
着	羊目
小	小
得	行日一寸
先	牛儿
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	及
跟	足艮
於	方人冫
太	大丶
嘛	口麻
號	口丂虎
日	日
才	才
可	丁口
比	匕匕
玩	王一兀
們	亻門
最	最
月	月
真	真
吃	口𠂉乙
發	癶弓殳
並	並
它	宀匕
其	其
話	言舌
請	言丰月
錢	金戈戈
叫	口丩
開	門开
出	屮凵
誰	言隹
哈	口亼口
當	小冖口田
向	向口
家	宀豕
問	門口
之	之
更	一日乂
該	言亥
走	走
快	忄㇕大
別	口力刂
前	䒑月刂
由	由
高	亠口冂口
您	亻尔心
裏	衣里
加	力口
所	户斤
天	一大
卻	八人口卩
已	巳
里	里
內	冂人
寫	宀臼勹灬
啥	口亼十口
老	老
搞	扌亠口冂口
行	行
事	事
拿	亼口手
帶	廿儿冖巾
如	女口
死	一夕匕
賣	士四貝
暈	日冖車
像	亻象
使	亻一口乂
剛	冂䒑山刂
成	戊㇆
無	𠂉廿廿灬
換	扌𠂊冂八大
只	口八
哪	口刀二阝
愛	爪冖心夂
回	圍口
聽	耳王十四一心
少	小丿
元	一兀
喫	口丰刀大
卡	上卜
靠	牛口非
幫	土土寸白巾
算	⺮目廾
者	者
忙	忄亡
起	起
各	夂口
學	臼乂乂冖子
分	八刀
咯	口夂口
總	糸囱心
則	貝刂
水	水
張	弓長
改	己攵
唉	口厶矢
三	三
見	見
連	之車
車	車
放	方攵
全	人王
按	扌宀女
區	匚口口口
萬	艹日冂厶
機	木幺幺戈人
早	日十
拉	扌立
弄	王廾
本	木一
偶	亻日冂厶
頁	頁
進	之隹
性	忄生
