的	白勹丶
了	了
我	手戈
是	日一止
在	大丨土
你	亻𠂊小
和	禾口
有	大月
不	不
就	亠口小尤
都	者阝
也	也
要	西女
吧	口巴
好	女子
他	亻也
說	言八口儿
去	土厶
到	至刂
沒	氵勹又
還	之四一口𧘇
上	上
對	业羊寸
那	刀二阝
人	人
個	亻圍十口
看	手目
中	中
呢	口尸匕
來	木人人
嗎	口馬
爲	爲
會	人一四日
她	女也
與	臼一乚丨八
給	糸人一口
等	⺮土寸
這	之言
用	用
把	扌巴
下	一卜
恩	圍大心
能	厶月匕匕
很	行艮
多	夕夕
做	亻十口攵
想	木目心
點	四土灬卜口
被	衤皮
地	土也
而	而
一	一
後	行幺夂
又	又
從	行人人止
再	一冂土
將	爿夕寸
時	日土寸
但	亻日一
過	之咼
打	扌丁
大	大
年	𠂉㐄
麼	广木木幺
啦	口扌立
以	厶人
買	四貝
讓	言衣口口甘
嗯	口圍大心
着	羊目
小	小
得	行日一寸
先	牛儿
啊	口阝丁口
或	戈口一
呀	口牙
找	扌戈
新	立木斤
及	㇆人
跟	足艮
於	方人冫
太	大丶
嘛	口广木木
號	口丂虎
日	日
才	寸丿
可	丁口
比	匕匕
玩	王一兀
們	亻門
最	日耳又
月	月
真	十且八
吃	口𠂉乙
發	癶弓殳
並	䒑业
它	宀匕
其	其
話	言舌
請	言丰月
錢	金戈戈
叫	口凵
開	門一艹
出	屮凵
誰	言隹
哈	口人一口
當	小冖口田
向	自口
家	宀豕
問	門口
之	之
更	一日乂
該	言亠乡人
走	走
快	忄㇕大
別	口力刂
前	䒑月刂
由	由
高	亠口冂口
您	亻𠂊小心
裏	衣田土
加	力口
所	户斤
天	一大
卻	八人口卩
已	巳
里	田土
內	冂人
寫	宀臼勹灬
啥	口人舌
老	者匕
搞	扌亠口冂口
行	行
事	一口尹
拿	人一口手
帶	廿儿冖巾
如	女口
死	一夕匕
賣	士四貝
暈	日冖車
像	亻𠂊口豕
使	亻一口乂
剛	冂䒑山刂
成	戊㇆
無	𠂉廿灬
換	扌𠂊冂八大
只	口八
哪	口刀二阝
愛	爪冖心夂
回	圍口
聽	耳王十四一心
少	小丿
元	一兀
喫	口丰刀大
卡	上卜
靠	牛口非
幫	土土寸白巾
算	⺮目艹
者	者
忙	忄亡
起	走己
各	夂口
學	臼乂乂子
分	八刀
咯	口夂口
總	糸鬼夂心
則	貝刂
水	水
張	弓長
改	己攵
唉	口厶矢
三	三
見	見
連	之車
車	車
放	方攵
全	人王
按	扌宀女
區	匚口口口
萬	艹日冂厶
機	木幺幺戈人
早	日十
拉	扌立
弄	王艹
本	木一
偶	亻日冂厶
頁	頁
進	之隹
性	忄生
第	⺮弓亻
完	宀一兀
同	冂一口
花	艹亻匕
長	長
怕	忄白
女	女
講	言甘冂土
殺	乂木殳
組	糸且
錯	金廿日
些	止匕二
住	亻丶王
名	夕口
跑	足勹巳
次	冫欠
網	糸冂䒑亡
睡	目千艹二
裝	爿士衣
哦	口手戈
挺	扌廴丿士
王	王
